mRNA	microRNA	lncRNA		R_high	pValue	R_low	pValue		pValue Condition	SCC Condition
KIF18B	hsa-miR-497-5p	SNHG16		-0.481744929146985	0.000118174731717106	-0.342372881355932	0.00768747206503193		Satisfied	No (R_low > -0.4)
KIF23	hsa-miR-195-5p	SNHG16		-0.323145318143929	0.0121060438668819	-0.256460127813282	0.0482029311525926		Satisfied	No (R_low > -0.4)
KIF23	hsa-miR-497-5p	SNHG16		-0.442122811892192	0.000460944421147823	-0.291025284801334	0.0244204332092826		Satisfied	No (R_low > -0.4)
LMNB1	hsa-let-7b-5p	SNHG16		-0.401222561822729	0.00161303986753136	-0.257238121700472	0.0475097981788641		Satisfied	No (R_low > -0.4)
MYBL1	hsa-let-7b-5p	SNHG16		-0.443234231731036	0.000444590917418514	-0.21889413726035	0.0929159128831415		p(R_low) > 0.05)	No (R_low > -0.4)
MYBL1	hsa-let-7c-5p	SNHG16		-0.245290358432898	0.0591047579146271	-0.148930258405113	0.255359555301062		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
MYBL1	hsa-miR-200a-3p	SNHG16		-0.313420394554043	0.0150823762048839	-0.259071964434565	0.0459084255316661		Satisfied	No (R_low > -0.4)
NCAPG	hsa-miR-497-5p	SNHG16		-0.498694081689358	6.28895686366039E-05	-0.406390664073354	0.00138794683905519		Satisfied	No (R_high < -0.4)
OIP5	hsa-miR-195-5p	SNHG16		-0.28513475965546	0.0275685670977483	-0.2231731036399	0.0865841457946968		p(R_low) > 0.05)	No (R_low > -0.4)
OIP5	hsa-miR-497-5p	SNHG16		-0.328535704362323	0.0106870734617546	-0.275298694081689	0.0335881478411184		Satisfied	No (R_low > -0.4)
PAFAH1B2	hsa-miR-15a-5p	SNHG16		-0.105418171714365	0.42176716733791	-0.314253959433176	0.0148046240375814		p(R_high) > 0.05)	No (R_low > -0.4)
PDSS1	hsa-let-7b-5p	SNHG16		-0.424895804390108	0.00079534782778522	-0.144040011114198	0.271431706028253		p(R_low) > 0.05)	No (R_low > -0.4)
PDSS1	hsa-let-7c-5p	SNHG16		-0.103084190052792	0.432162972006227	-0.418171714365101	0.000977034844129861		p(R_high) > 0.05)	No (|R_low|-|R_high| < -0.4)
POLQ	hsa-let-7a-5p	SNHG16		-0.397054737427063	0.00181794833719696	-0.223895526535149	0.0855496618925536		p(R_low) > 0.05)	No (R_low > -0.4)
POLQ	hsa-let-7b-5p	SNHG16		-0.508419005279244	4.31854347302773E-05	-0.335315365379272	0.00910959848825902		Satisfied	No (R_low > -0.4)
POLQ	hsa-let-7c-5p	SNHG16		-0.266407335370936	0.0399418993969938	-0.43828841344818	0.000521665387606296		Satisfied	No (|R_low|-|R_high| < -0.4)
POLQ	hsa-miR-195-5p	SNHG16		-0.333314809669353	0.00955241590274103	-0.321811614337316	0.0124813831202602		Satisfied	No (R_low > -0.4)
POLQ	hsa-miR-497-5p	SNHG16		-0.41083634342873	0.00121743003734704	-0.372270075020839	0.0035960993540071		Satisfied	No (R_low > -0.4)
PTPRG	hsa-miR-141-3p	SNHG16		-0.2146151708808	0.0996063606793998	-0.415893303695471	0.00104664340283718		p(R_high) > 0.05)	No (|R_low|-|R_high| < -0.4)
RACGAP1	hsa-miR-195-5p	SNHG16		-0.268908030008336	0.0380613682924811	-0.284245623784385	0.0280723181221022		Satisfied	No (R_low > -0.4)
RACGAP1	hsa-miR-497-5p	SNHG16		-0.516587941094749	3.1238913625322E-05	-0.274131703250903	0.0343704199822724		Satisfied	No (R_low > -0.4)
RRM2	hsa-let-7b-5p	SNHG16		-0.467129758266185	0.000198778175100861	-0.361100305640456	0.00481409145105647		Satisfied	No (R_low > -0.4)
RRM2	hsa-let-7c-5p	SNHG16		-0.265573770491803	0.0405856515464056	-0.475409836065574	0.000148447770710422		Satisfied	No (|R_low|-|R_high| < -0.4)
RRM2	hsa-miR-23b-3p	SNHG16		-0.323867741039178	0.0119068548612585	-0.245290358432898	0.0591047579146271		p(R_low) > 0.05)	No (R_low > -0.4)
SEC23A	hsa-miR-200a-3p	SNHG16		-0.269630452903584	0.0375320435818072	-0.271519866629619	0.0361766013804086		Satisfied	No (R_low > -0.4)
SGOL2	hsa-miR-200a-3p	SNHG16		-0.235120866907474	0.0706993838957233	-0.340650180605724	0.00801531889301077		p(R_high) > 0.05)	No (R_low > -0.4)
SKA2	hsa-miR-200a-3p	SNHG16		-0.205168102250625	0.115707700811936	-0.34331758821895	0.00751272854101656		p(R_high) > 0.05)	No (R_low > -0.4)
SLC5A3	hsa-miR-141-3p	SNHG16		-0.388107807724368	0.00233875764983003	-0.420616838010559	0.000907019799853794		Satisfied	No (|R_low|-|R_high| < -0.4)
STRN	hsa-miR-200a-3p	SNHG16		-0.20527924423451	0.115507271016492	-0.133370380661295	0.308812345753418		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
TK1	hsa-let-7b-5p	SNHG16		-0.375915197524435	0.00307669805057905	-0.191775493192554	0.141878263694737		p(R_low) > 0.05)	No (R_low > -0.4)
TK1	hsa-let-7c-5p	SNHG16		-0.164297920242589	0.209689538494683	-0.302750764101139	0.0190541963174337		p(R_high) > 0.05)	No (R_low > -0.4)
TOP2A	hsa-let-7b-5p	SNHG16		-0.466407335370936	0.000203840388690895	-0.24106696304529	0.0637168092912344		p(R_low) > 0.05)	No (R_low > -0.4)
TOP2A	hsa-let-7c-5p	SNHG16		-0.253681578216171	0.050746675185859	-0.36449013614893	0.00441067979832298		p(R_high) > 0.05)	No (R_low > -0.4)
UBE2T	hsa-let-7a-5p	SNHG16		-0.30302861906085	0.0189403947541994	-0.218616282300639	0.0933393365386852		p(R_low) > 0.05)	No (R_low > -0.4)
UBE2T	hsa-let-7b-5p	SNHG16		-0.438177271464296	0.000523529376517317	-0.277243678799667	0.0323175287710387		Satisfied	No (R_low > -0.4)
UBE2T	hsa-let-7c-5p	SNHG16		-0.192998055015282	0.139318844058367	-0.425118088357877	0.000789903143878934		p(R_high) > 0.05)	No (|R_low|-|R_high| < -0.4)
UHRF1	hsa-let-7b-5p	SNHG16		-0.504140038899695	5.10174320858635E-05	-0.225618227285357	0.0831223120399133		p(R_low) > 0.05)	No (R_low > -0.4)
UHRF1	hsa-let-7c-5p	SNHG16		-0.16171158655182	0.216458569460537	-0.421839399833287	0.000873745994140146		p(R_high) > 0.05)	No (|R_low|-|R_high| < -0.4)
USP32	hsa-miR-200a-3p	SNHG16		-0.243234231731036	0.0613149875614415	-0.218227285357044	0.0939346769328037		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
WDR43	hsa-miR-200a-3p	SNHG16		-0.242233953876077	0.0624142300002351	-0.181883856626841	0.163903032489547		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
WDR43	hsa-miR-497-5p	SNHG16		-0.21233676021117	0.103319339026016	-0.227618782995277	0.0803724259989606		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
ZNF367	hsa-miR-497-5p	SNHG16		-0.401944984717977	0.0015797168174545	-0.224451236454571	0.0847605867652364		p(R_low) > 0.05)	No (R_low > -0.4)
ZNF695	hsa-let-7b-5p	SNHG16		-0.285412614615171	0.0274127198005217	-0.242678521811614	0.0619237219337856		p(R_low) > 0.05)	No (R_low > -0.4)
C15orf42	hsa-miR-338-3p	SNHG15		0.00844679077521534	0.948936324394514	-0.294415115309808	0.0227511584768089		p(R_high) > 0.05)	No (R_low > -0.4)
DPY19L1	hsa-miR-141-3p	SNHG15		-0.099194220616838	0.449808608374161	-0.251736593498194	0.0525920428849601		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
DPY19L1	hsa-miR-200a-3p	SNHG15		-0.297804945818283	0.0211799967986507	-0.272464573492637	0.0355143609010673		Satisfied	No (R_low > -0.4)
PFKFB4	hsa-miR-195-5p	SNHG12		-0.305751597666018	0.0178556038629973	-0.488635732147819	9.17783475886004E-05		Satisfied	No (|R_low|-|R_high| < -0.4)
ANLN	hsa-miR-195-5p	SNHG1		-0.341539316476799	0.00784460858798725	-0.132147818838566	0.313298950302165		p(R_low) > 0.05)	No (R_low > -0.4)
ANLN	hsa-miR-497-5p	SNHG1		-0.421116976938038	0.000893271423836177	-0.241900527924423	0.062784173755435		p(R_low) > 0.05)	No (R_low > -0.4)
ARHGAP11A	hsa-miR-101-3p	SNHG1		-0.243456515698805	0.0610728574017265	-0.326535148652404	0.0111958309521645		p(R_high) > 0.05)	No (R_low > -0.4)
ATAD5	hsa-miR-195-5p	SNHG1		-0.424562378438455	0.000803578728259654	-0.105584884690192	0.421030154075744		p(R_low) > 0.05)	No (R_low > -0.4)
ATAD5	hsa-miR-497-5p	SNHG1		-0.51814392886913	2.93451982278725E-05	-0.0168380105584885	0.898244845940098		p(R_low) > 0.05)	No (R_low > -0.4)
BUB1B	hsa-miR-101-3p	SNHG1		-0.254015004167824	0.0504357273949219	-0.342706307307586	0.00762539491843739		p(R_high) > 0.05)	No (R_low > -0.4)
C1orf112	hsa-miR-101-3p	SNHG1		-0.158155043067519	0.226836462618519	-0.215671019727702	0.0979214750382573		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
CCNB1	hsa-miR-195-5p	SNHG1		-0.374270630730759	0.0034095902870062	-0.0652403445401501	0.619573821060355		p(R_low) > 0.05)	No (R_low > -0.4)
CCNB1	hsa-miR-497-5p	SNHG1		-0.390552931369825	0.0021845717226191	-0.191386496248958	0.142700003089555		p(R_low) > 0.05)	No (R_low > -0.4)
CCNE1	hsa-miR-101-3p	SNHG1		-0.304084467907752	0.018513241875044	-0.175326479577661	0.179835234367191		p(R_low) > 0.05)	No (R_low > -0.4)
CCNE1	hsa-miR-195-5p	SNHG1		-0.343428730202834	0.00749240149260573	-0.197499305362601	0.130195210146114		p(R_low) > 0.05)	No (R_low > -0.4)
CCNE2	hsa-miR-101-3p	SNHG1		-0.243289802722979	0.0612543821198958	-0.215004167824396	0.0989829959494362		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
CCNE2	hsa-miR-145-5p	SNHG1		-0.354265073631564	0.00572812080941747	-0.150097249235899	0.251622061350498		p(R_low) > 0.05)	No (R_low > -0.4)
CDK5R1	hsa-miR-101-3p	SNHG1		-0.339126689761677	0.00803357050541648	-0.104417893859405	0.426204796466552		p(R_low) > 0.05)	No (R_low > -0.4)
CEP55	hsa-miR-101-3p	SNHG1		-0.400889135871075	0.00162863210590662	-0.2926924145596	0.0235869243145387		Satisfied	No (R_low > -0.4)
CEP55	hsa-miR-497-5p	SNHG1		-0.190497360377883	0.144591703850383	-0.262572936926924	0.0429749176987238		p(R_high) > 0.05)	No (R_low > -0.4)
CHEK1	hsa-miR-145-5p	SNHG1		-0.361933870519589	0.00471197473749746	-0.15151641452441	0.247828844037182		p(R_low) > 0.05)	No (R_low > -0.4)
CHEK1	hsa-miR-195-5p	SNHG1		-0.456626840789108	0.000285076333748293	-0.0169493880175848	0.897724198880173		p(R_low) > 0.05)	No (R_low > -0.4)
CHEK1	hsa-miR-497-5p	SNHG1		-0.461128091136427	0.000244581261475603	-0.180636018856261	0.167230231113861		p(R_low) > 0.05)	No (R_low > -0.4)
CHORDC1	hsa-miR-497-5p	SNHG1		-0.239233120311198	0.0658080948490996	-0.270352875798833	0.0370088699816171		p(R_high) > 0.05)	No (R_low > -0.4)
CLSPN	hsa-miR-195-5p	SNHG1		-0.4866351764379	9.88177895752001E-05	-0.186996387885524	0.152223646259229		p(R_low) > 0.05)	No (R_low > -0.4)
CLSPN	hsa-miR-497-5p	SNHG1		-0.53753820505696	1.31483842879264E-05	-0.157043623228675	0.23014973673254		p(R_low) > 0.05)	No (R_low > -0.4)
DNAJC9	hsa-miR-497-5p	SNHG1		-0.291414281744929	0.0242237442604468	-0.228733380591407	0.078768457899895		p(R_low) > 0.05)	No (R_low > -0.4)
E2F8	hsa-miR-101-3p	SNHG1		-0.181828285634899	0.164033518785907	-0.216671297582662	0.0963459313766954		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
EIF2C2	hsa-miR-195-5p	SNHG1		-0.420505696026674	0.00091010091631637	-0.0949152542372882	0.469672849605955		p(R_low) > 0.05)	No (R_low > -0.4)
FANCI	hsa-miR-195-5p	SNHG1		-0.351653237010281	0.00611591310336944	-0.193776048902473	0.137708358264759		p(R_low) > 0.05)	No (R_low > -0.4)
FANCI	hsa-miR-497-5p	SNHG1		-0.54331758821895	1.02630773346625E-05	-0.263906640733537	0.0418990203847131		Satisfied	No (R_low > -0.4)
G2E3	hsa-miR-497-5p	SNHG1		-0.301083634342873	0.0197493736505029	-0.210811486703961	0.105918056643641		p(R_low) > 0.05)	No (R_low > -0.4)
HELLS	hsa-miR-145-5p	SNHG1		-0.314309530425118	0.0147862652029652	-0.0966935259794388	0.461360391724252		p(R_low) > 0.05)	No (R_low > -0.4)
HELLS	hsa-miR-195-5p	SNHG1		-0.368824673520422	0.00393867869828273	-0.209836065573771	0.107517747367565		p(R_low) > 0.05)	No (R_low > -0.4)
HELLS	hsa-miR-497-5p	SNHG1		-0.427118644067797	0.000742401891647334	-0.201055848846902	0.123313606138367		p(R_low) > 0.05)	No (R_low > -0.4)
IQGAP3	hsa-miR-101-3p	SNHG1		-0.298916365657127	0.0206854411342371	-0.241511530980828	0.0632180179766137		p(R_low) > 0.05)	No (R_low > -0.4)
IQGAP3	hsa-miR-195-5p	SNHG1		-0.219060850236177	0.0926625848768012	-0.119088635732148	0.363829522771726		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
KIAA0101	hsa-miR-497-5p	SNHG1		-0.20150041678244	0.122473357765364	-0.287524312308975	0.0262524358023773		p(R_high) > 0.05)	No (R_low > -0.4)
KIF18B	hsa-miR-195-5p	SNHG1		-0.367879966657405	0.00403754185739597	-0.0995276465684913	0.448280613583777		p(R_low) > 0.05)	No (R_low > -0.4)
KIF18B	hsa-miR-497-5p	SNHG1		-0.390386218393998	0.00219478729865404	-0.198166157265907	0.128883141700297		p(R_low) > 0.05)	No (R_low > -0.4)
KIF23	hsa-miR-195-5p	SNHG1		-0.350930814115032	0.00622718111420141	-0.102806335093081	0.433410184997591		p(R_low) > 0.05)	No (R_low > -0.4)
KIF23	hsa-miR-497-5p	SNHG1		-0.481189219227563	0.000120582634856978	-0.236232286746318	0.0693494729100729		p(R_low) > 0.05)	No (R_low > -0.4)
MMD	hsa-miR-101-3p	SNHG1		-0.310062657193818	0.015910684136667	-0.0525701583773271	0.689240399030148		p(R_low) > 0.05)	No (R_low > -0.4)
MND1	hsa-miR-101-3p	SNHG1		-0.456126701861628	0.000289935742101165	-0.0563489858293971	0.668156971942346		p(R_low) > 0.05)	No (R_low > -0.4)
MSH2	hsa-miR-145-5p	SNHG1		-0.315587663239789	0.0143694012787597	-0.297804945818283	0.0211799967986507		Satisfied	No (R_low > -0.4)
NAA25	hsa-miR-101-3p	SNHG1		-0.121978327313143	0.352239040589212	-0.0797443734370659	0.543776998896235		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
NAA25	hsa-miR-145-5p	SNHG1		-0.219505418171714	0.0919896999251409	0.0282856348985829	0.829779765931485		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
NAA25	hsa-miR-497-5p	SNHG1		-0.219949986107252	0.0913206679581783	-0.0173937204779105	0.894899878459998		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
NCAPG	hsa-miR-497-5p	SNHG1		-0.50930814115032	4.1704850858877E-05	-0.233953876076688	0.0721394353798445		p(R_low) > 0.05)	No (R_low > -0.4)
OIP5	hsa-miR-195-5p	SNHG1		-0.351597666018338	0.00612440952273052	-0.120311197554876	0.358897608905486		p(R_low) > 0.05)	No (R_low > -0.4)
OIP5	hsa-miR-497-5p	SNHG1		-0.416949152542373	0.00101384632067975	-0.122311753264796	0.35091658692408		p(R_low) > 0.05)	No (R_low > -0.4)
PFKFB4	hsa-miR-195-5p	SNHG1		-0.411503195332037	0.00119355345471094	-0.175659905529314	0.17899884786696		p(R_low) > 0.05)	No (R_low > -0.4)
POLQ	hsa-miR-195-5p	SNHG1		-0.338649624895804	0.00841136949794514	-0.141483745484857	0.280097735440124		p(R_low) > 0.05)	No (R_low > -0.4)
POLQ	hsa-miR-497-5p	SNHG1		-0.448513475965546	0.000373904061213275	-0.0844123367602112	0.520383332890017		p(R_low) > 0.05)	No (R_low > -0.4)
POP1	hsa-miR-101-3p	SNHG1		-0.149708252292303	0.252863713429728	-0.22217282578494	0.088032821570268		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
PTHLH	hsa-miR-101-3p	SNHG1		-0.108363434287302	0.408856120011191	-0.290969713809392	0.0244486419905465		p(R_high) > 0.05)	No (R_low > -0.4)
RAD51	hsa-miR-195-5p	SNHG1		-0.373770491803279	0.00345539120089029	-0.123756599055293	0.345221678784816		p(R_low) > 0.05)	No (R_low > -0.4)
RAD51	hsa-miR-497-5p	SNHG1		-0.360822450680745	0.00484856325039393	-0.168824673520422	0.196717860401332		p(R_low) > 0.05)	No (R_low > -0.4)
RAN	hsa-miR-101-3p	SNHG1		-0.159711030841901	0.222254124980037	-0.225340372325646	0.0835100786262129		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
RAN	hsa-miR-497-5p	SNHG1		-0.324256737982773	0.0118007825193396	-0.152486801889414	0.244086263056032		p(R_low) > 0.05)	No (R_low > -0.4)
SEC61A2	hsa-miR-101-3p	SNHG1		-0.439177549319255	0.000506969763988375	0.124534592942484	0.34217926052369		p(R_low) > 0.05)	No (R_low > -0.4)
SPATS2	hsa-miR-497-5p	SNHG1		-0.291136426785218	0.0243640985220024	-0.289191442067241	0.0253660392721349		Satisfied	No (R_low > -0.4)
STC1	hsa-miR-101-3p	SNHG1		-0.0750208391219784	0.567959594033378	-0.145818282856349	0.265510478775292		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
TYMS	hsa-miR-195-5p	SNHG1		-0.440622395109753	0.000483892205900137	-0.122478466240622	0.35025651877261		p(R_low) > 0.05)	No (R_low > -0.4)
TYMS	hsa-miR-497-5p	SNHG1		-0.357543762156155	0.00527214626342715	-0.201833842734093	0.121846054243307		p(R_low) > 0.05)	No (R_low > -0.4)
UNG	hsa-miR-101-3p	SNHG1		-0.0949152542372882	0.469672849605955	-0.159210891914421	0.223719876413756		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
UNG	hsa-miR-497-5p	SNHG1		-0.342261739372048	0.00770826274958072	-0.11864406779661	0.365633199476131		p(R_low) > 0.05)	No (R_low > -0.4)
WDR67	hsa-miR-497-5p	SNHG1		-0.318231706500654	0.0132140604651811	-0.162823006390664	0.21328528936064		p(R_low) > 0.05)	No (R_low > -0.4)
ZNF367	hsa-miR-497-5p	SNHG1		-0.469463739927758	0.000183201829874936	-0.240177827174215	0.0647239473344867		p(R_low) > 0.05)	No (R_low > -0.4)
ADAM10	hsa-miR-29b-3p	OIP5-AS1		-0.364267852181162	0.00443618359745377	-0.31008613503751	0.0162387974792093		Satisfied	No (R_low > -0.4)
ANKRD44	hsa-miR-421	OIP5-AS1		-0.411669908307863	0.00118765080519289	-0.239177549319255	0.0658723222182602		p(R_low) > 0.05)	No (R_low > -0.4)
B4GALT6	hsa-miR-29a-3p	OIP5-AS1		-0.552320088913587	6.92217143749672E-06	-0.12820227841067	0.328063853605795		p(R_low) > 0.05)	No (R_low > -0.4)
BCL11B	hsa-miR-183-5p	OIP5-AS1		-0.18488469019172	0.156970105850134	-0.149485968324535	0.253575104700514		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
CELF2	hsa-miR-183-5p	OIP5-AS1		-0.269130313976105	0.0378978407877218	-0.238844123367602	0.0662587502759127		p(R_low) > 0.05)	No (R_low > -0.4)
CPEB2	hsa-miR-363-3p	OIP5-AS1		-0.035565434843012	0.786858840004904	-0.317754931925535	0.0136857262342599		p(R_high) > 0.05)	No (R_low > -0.4)
CTDSPL2	hsa-miR-29b-3p	OIP5-AS1		-0.610614059460961	4.27516831282867E-07	-0.38438455126424	0.00259230480126429		Satisfied	No (R_low > -0.4)
CTDSPL2	hsa-miR-30b-5p	OIP5-AS1		-0.323756599055293	0.011937312874489	-0.268908030008336	0.0380613682924811		Satisfied	No (R_low > -0.4)
DLC1	hsa-miR-18a-5p	OIP5-AS1		-0.448735759933315	0.00037116666028413	-0.218338427340928	0.0937642759841684		p(R_low) > 0.05)	No (R_low > -0.4)
EDEM1	hsa-miR-363-3p	OIP5-AS1		-0.337093637121423	0.00873115273212734	-0.403667685468186	0.00150274215274835		Satisfied	No (|R_low|-|R_high| < -0.4)
FCHO2	hsa-miR-183-5p	OIP5-AS1		-0.270241733814949	0.0370889599998347	0.0278410669630453	0.832418483674862		p(R_low) > 0.05)	No (R_low > -0.4)
FCHO2	hsa-miR-25-3p	OIP5-AS1		-0.469074742984162	0.000185717425562021	-0.180828007779939	0.166395408296587		p(R_low) > 0.05)	No (R_low > -0.4)
FCHO2	hsa-miR-363-3p	OIP5-AS1		-0.279688802445124	0.0307776478895301	-0.119533203667685	0.362031312163157		p(R_low) > 0.05)	No (R_low > -0.4)
FOXQ1	hsa-miR-128-3p	OIP5-AS1		-0.356098916365657	0.00546897189218649	-0.328091136426785	0.0107983570927081		Satisfied	No (R_low > -0.4)
FOXQ1	hsa-miR-183-5p	OIP5-AS1		-0.449347040844679	0.00036373296756095	-0.241122534037233	0.0636542867246742		p(R_low) > 0.05)	No (R_low > -0.4)
HNF1B	hsa-miR-363-3p	OIP5-AS1		-0.35643234231731	0.00542298329376815	-0.151544200406406	0.247741116857986		p(R_low) > 0.05)	No (R_low > -0.4)
IREB2	hsa-miR-29b-3p	OIP5-AS1		-0.529535982217283	1.84090226022115E-05	-0.210002778549597	0.107233797062795		p(R_low) > 0.05)	No (R_low > -0.4)
KCNK1	hsa-miR-25-3p	OIP5-AS1		-0.238677410391776	0.0664526494208356	-0.142650736315643	0.276118906627636		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
LCOR	hsa-miR-30c-5p	OIP5-AS1		-0.289024729091414	0.025453521909253	-0.323645457071409	0.0119678385031982		Satisfied	No (R_low > -0.4)
MAMDC2	hsa-miR-18a-5p	OIP5-AS1		-0.574270630730759	2.54410282993853E-06	-0.26851903306474	0.0383489558584327		Satisfied	No (R_low > -0.4)
MGA	hsa-miR-29b-3p	OIP5-AS1		-0.388996943595443	0.00228159698401744	-0.11881243141507	0.365907563815472		p(R_low) > 0.05)	No (R_low > -0.4)
N4BP2	hsa-miR-30c-5p	OIP5-AS1		-0.25918310641845	0.045812822063117	-0.190830786329536	0.143880120998697		p(R_low) > 0.05)	No (R_low > -0.4)
NR3C1	hsa-miR-18a-5p	OIP5-AS1		-0.384773548207836	0.00256471050137991	-0.144095582106141	0.271245336136013		p(R_low) > 0.05)	No (R_low > -0.4)
NR3C2	hsa-miR-421	OIP5-AS1		-0.547040844679078	8.73071861728961E-06	-0.376715754376216	0.00319336874007855		Satisfied	No (R_low > -0.4)
PTPN13	hsa-miR-18a-5p	OIP5-AS1		-0.44912475687691	0.000366420238027719	-0.395665462628508	0.00189127874209839		Satisfied	No (R_low > -0.4)
RAB27A	hsa-miR-128-3p	OIP5-AS1		-0.323589886079467	0.011983126711688	-0.118810780772437	0.36495618042517		p(R_low) > 0.05)	No (R_low > -0.4)
RBMS3	hsa-miR-141-3p	OIP5-AS1		-0.442734092803557	0.000451883337580872	-0.481467074187274	0.000119373088085151		Satisfied	No (R_high < -0.4)
RNF145	hsa-miR-18a-5p	OIP5-AS1		-0.438399555432065	0.000519807447426522	-0.191053070297305	0.143407196719392		p(R_low) > 0.05)	No (R_low > -0.4)
SGK269	hsa-miR-18a-5p	OIP5-AS1		-0.50072937945065	4.61072029701838E-05	-0.186440677966102	0.153462202733057		p(R_low) > 0.05)	No (R_low > -0.4)
SGPP1	hsa-miR-25-3p	OIP5-AS1		-0.313420394554043	0.0150823762048839	-0.067907752153376	0.605298923568163		p(R_low) > 0.05)	No (R_low > -0.4)
SHPRH	hsa-miR-29a-3p	OIP5-AS1		-0.420061128091137	0.000922520458477903	-0.427896637954988	0.000724640798658434		Satisfied	No (R_high < -0.4)
SHPRH	hsa-miR-29b-3p	OIP5-AS1		-0.469130313976105	0.000185356122271604	-0.141150319533204	0.281241523185596		p(R_low) > 0.05)	No (R_low > -0.4)
SLC35A1	hsa-miR-183-5p	OIP5-AS1		-0.405890525145874	0.00140841929525943	-0.195054181717144	0.135093156085267		p(R_low) > 0.05)	No (R_low > -0.4)
TAOK1	hsa-miR-30c-5p	OIP5-AS1		-0.31814392886913	0.0135660407977722	-0.318810780772437	0.0133629718448632		Satisfied	No (R_low > -0.4)
TMEM87A	hsa-miR-363-3p	OIP5-AS1		-0.297586796177596	0.0209328502548735	-0.146318421783829	0.263860968612922		p(R_low) > 0.05)	No (R_low > -0.4)
TUBGCP4	hsa-miR-30b-5p	OIP5-AS1		-0.289135871075299	0.0253951717902554	-0.201778271742151	0.121950433506676		p(R_low) > 0.05)	No (R_low > -0.4)
ZDHHC20	hsa-miR-30b-5p	OIP5-AS1		-0.307252014448458	0.0172809693857959	-0.28185607113087	0.0294648021396124		Satisfied	No (R_low > -0.4)
ZDHHC20	hsa-miR-30c-5p	OIP5-AS1		-0.306585162545152	0.017534371096942	-0.286301750486246	0.0269190025055204		Satisfied	No (R_low > -0.4)
AFG3L1	hsa-let-7a-5p	NEAT1		-0.150152820227841	0.251445023403796	-0.180050013892748	0.168249690977973		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
ALPL	hsa-miR-9-5p	NEAT1		-0.301361489302584	0.0196320264076455	-0.302639622117255	0.0190998806002873		Satisfied	No (R_low > -0.4)
APBB3	hsa-let-7e-5p	NEAT1		-0.231619894415115	0.075090124188068	-0.400111141983884	0.00166554290406803		p(R_high) > 0.05)	No (|R_low|-|R_high| < -0.4)
APBB3	hsa-let-7f-5p	NEAT1		-0.0330091692136705	0.801865152328798	-0.256015559877744	0.0486027299891186		p(R_high) > 0.05)	No (R_low > -0.4)
BTG2	hsa-miR-9-5p	NEAT1		-0.190441789385941	0.144710557534372	-0.333370380661295	0.00953986617094349		p(R_high) > 0.05)	No (R_low > -0.4)
C17orf56	hsa-let-7a-5p	NEAT1		-0.376938038343984	0.00317433211128721	-0.323756599055293	0.011937312874489		Satisfied	No (R_low > -0.4)
C17orf56	hsa-let-7b-5p	NEAT1		-0.302584051125313	0.0191227578873652	-0.272464573492637	0.0355143609010673		Satisfied	No (R_low > -0.4)
C17orf56	hsa-let-7e-5p	NEAT1		-0.189774937482634	0.146142530151557	-0.321533759377605	0.0125608364829464		p(R_high) > 0.05)	No (R_low > -0.4)
C17orf56	hsa-let-7f-5p	NEAT1		-0.23400944706863	0.0720703318645491	-0.215782161711587	0.0977454247505116		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
CAPRIN2	hsa-let-7a-5p	NEAT1		-0.29169213670464	0.0240840771207829	-0.142095026396221	0.278008849186433		p(R_low) > 0.05)	No (R_low > -0.4)
CELF2	hsa-miR-425-5p	NEAT1		-0.0752986940816894	0.566523232962141	-0.55137538205057	7.21751899490313E-06		p(R_high) > 0.05)	Satisfied
DMTF1	hsa-let-7e-5p	NEAT1		-0.0821894970825229	0.53145943524496	-0.34987496526813	0.00639301227601016		p(R_high) > 0.05)	No (R_low > -0.4)
FAM160B2	hsa-let-7e-5p	NEAT1		-0.149485968324535	0.253575104700514	-0.123867741039178	0.344786015368123		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
FAM160B2	hsa-let-7f-5p	NEAT1		-0.260350097249236	0.0448188711378689	-0.0232842456237844	0.859567114002318		p(R_low) > 0.05)	No (R_low > -0.4)
